eventid,deploylen,taggingdate,deplon,deplat,recdate,reclon,reclat,reclen,reclen_type
100309200,96.0,2003-07-28,-116.56,29.43,2004-07-05,-117.25,29.91,140.00,SFL
100309300,90.5,2003-07-28,-116.52,29.46,,,,,
100309400,94.0,2003-07-29,-116.56,29.35,,,,,
100309500,96.0,2003-07-29,-116.56,29.35,,,,,
100309600,93.0,2003-07-29,-116.56,29.35,2006-07-16,135.51356,36.1135,154.00,SFL
100309700,94.0,2003-07-29,-116.56,29.35,2004-07-07,-116.85,29.51,123.00,SFL
100309800,87.0,2003-07-29,-116.56,29.35,2004-07-15,-116.86,29.46,112.00,SFL
100309900,94.0,2003-07-29,-116.56,29.35,,,,,
100310000,96.0,2003-07-29,-116.56,29.35,2004-06-13,-113.7,25.81,113.00,SFL
100310100,92.0,2003-07-29,-116.56,29.35,,,,,
100310200,90.0,2003-07-29,-116.56,29.35,2004-07-14,-117.13,29.57,114.00,SFL
100310300,92.0,2003-07-29,-116.56,29.35,2004-07-16,,,,
100310400,91.0,2003-07-29,-116.56,29.35,2004-06-15,-113.98,25.97,100.30,SFL
100310500,98.0,2003-07-29,-116.56,29.35,2004-06-15,-113.85,25.93,,
100310600,95.0,2003-07-29,-116.56,29.35,2004-06-16,-114.5,26.92,,
100310700,97.0,2003-07-29,-116.56,29.35,,,,,
100310800,94.0,2003-07-29,-116.56,29.35,,,,,
100310900,96.0,2003-07-29,-116.63,29.33,,,,,
100311000,95.0,2003-07-29,-116.63,29.33,2004-08-07,-117.2,30.43,100.00,SFL
100311100,90.0,2003-08-04,-116.54,30.44,2006-03-31,-114.75,27,153.00,SFL
100400100,101.0,2004-08-12,-117.46617,31.23737,2010-12-06,140.89,41.631,,
100400200,84.0,2004-08-16,-117.34533,31.34383,,,,,
100400300,81.0,2004-08-20,-117.50683,31.53183,2006-03-29,-112.78,24.75,106.30,SFL
100400400,77.0,2004-08-20,-117.52633,31.46083,2005-05-27,-113.73,25.76,86.30,SFL
100400500,79.0,2004-08-20,-117.52633,31.46083,2005-05-27,-113.68,25.9,,
100400600,80.5,2004-08-20,-117.5275,31.455,2009-10-06,142.17,41.26,178,SFL
100400700,77.0,2004-08-20,-117.50683,31.53183,2005-07-02,-114.85,26.7,,
100400800,77.0,2004-08-20,-117.50683,31.53183,2005-05-27,-113.73,25.76,88.90,UNK
100500100,130.0,2005-03-09,-116.99732,31.71792,2012-07-13,134.525,36.475,,
100500200,124.0,2005-03-09,-116.99732,31.71792,2005-07-24,-117.95,30.7,130.00,SFL
100500300,132.0,2005-03-09,-116.99732,31.71792,2006-11-30,-116.64,31.516,,
100500400,135.0,2005-03-09,-116.99732,31.71792,2005-07-19,-117.16,29.23,143.00,SFL
100500500,102.0,2005-03-09,-116.99732,31.71792,,,,,
100500600,121.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,,
100500700,109.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.08,30.88,136.00,SFL
100501000,129.0,2005-03-09,-116.99732,31.71792,2005-07-09,-116.96,28.75,134.00,SFL
100501100,127.0,2005-03-09,-116.99732,31.71792,2005-06-03,-113.71,25.73,133.00,SFL
100501200,125.0,2005-03-09,-116.99732,31.71792,2005-06-02,-113.98,25.4,150.00,SFL
100501500,130.0,2005-03-09,-116.99732,31.71792,,,,,
100501600,116.0,2005-03-09,-116.99732,31.71792,2006-05-11,-113.81,25.91,,
100501700,124.0,2005-03-09,-116.99732,31.71792,2006-07-12,135.51356,36.1135,,
100501800,123.0,2005-03-09,-116.99732,31.71792,2005-07-24,-118.08,30.88,142.00,SFL
100501900,130.0,2005-03-09,-116.99732,31.71792,2005-06-02,-113.98,25.4,150.00,SFL
100502000,128.0,2005-03-09,-116.99732,31.71792,2006-06-01,-114.41,26.53,,
100502100,129.0,2005-03-09,-116.99732,31.71792,,,,,
100502200,133.0,2005-03-09,-116.99732,31.71792,2005-07-07,-117.95,30.7,142.00,SFL
100502300,126.0,2005-03-09,-116.99732,31.71792,2005-07-24,-118.01,30.45,,
100502400,131.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,138.00,SFL
100502500,117.0,2005-03-09,-116.99732,31.71792,,,,,
100502600,130.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,140.00,SFL
100502700,131.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,140.00,SFL
100502800,125.0,2005-03-09,-116.99732,31.71792,,,,,
100502900,123.0,2005-03-09,-116.99732,31.71792,2005-07-09,-116.96,28.75,131.00,SFL
100503000,131.0,2005-03-09,-116.99732,31.71792,,,,,
100503100,134.0,2005-03-09,-116.99732,31.71792,,,,,
100503200,127.0,2005-03-09,-116.99732,31.71792,,,,,
100503300,119.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,129.00,SFL
100503400,115.0,2005-03-09,-116.99732,31.71792,,,,,
100503500,126.0,2005-03-09,-116.99732,31.71792,2005-06-02,-113.98,25.4,130.00,SFL
100503700,126.0,2005-03-09,-116.99732,31.71792,2005-07-09,-117.01,28.63,133.00,SFL
100503800,131.0,2005-03-09,-116.99732,31.71792,2005-07-15,-117,29,,
100503900,123.0,2005-03-09,-116.99732,31.71792,2005-06-02,-113.983,25.4,123.00,SFL
100504000,122.0,2005-03-09,-116.99732,31.71792,2005-07-09,-117.01,28.63,134.00,SFL
100504100,128.0,2005-03-09,-116.99732,31.71792,2005-07-15,-117,29,,
100504200,129.0,2005-03-09,-116.99732,31.71792,2006-05-11,-113.81,25.91,,
100504300,117.0,2005-03-09,-116.99732,31.71792,2005-07-24,-118.016,30.45,132,SFL
100504400,131.0,2005-03-09,-116.99732,31.71792,2005-07-24,-118.01,30.45,143.00,SFL
100504500,121.0,2005-03-09,-116.99732,31.71792,2005-08-01,-118.41,31.15,132.00,SFL
100504700,115.0,2005-03-09,-116.99732,31.71792,2005-07-24,-118.1,30.66,,
100504800,126.0,2005-03-09,-116.99732,31.71792,2005-07-23,-118.03,30.31,139.00,SFL
100504900,67.0,2005-08-06,-118.6352,31.78932,2006-04-13,-113.88,25.55,125.00,SFL
100505000,72.0,2005-08-06,-118.6352,31.78932,2006-08-17,-117.53,32.28,,
100505100,77.0,2005-08-06,-118.6352,31.78932,2006-04-04,-113.7,24.96,,
100505200,67.0,2005-08-06,-118.6352,31.78932,,,,,
100505300,98.5,2005-08-06,-118.61335,31.80472,2006-07-23,-117.46,31.73,,
100505400,73.0,2005-08-06,-118.61335,31.80472,2006-04-03,-113.78,24.86,,
100505500,70.0,2005-08-06,-118.60882,31.78642,,,,,
100505600,63.0,2005-08-06,-118.63322,31.79302,2006-04-13,-114.06,25.91,,
100505700,65.0,2005-08-06,-118.63235,31.79295,2006-04-12,-113.9,25.51,,
100505800,73.0,2005-08-06,-118.63235,31.79295,2005-08-16,-118.81,31.13,71.00,SFL
100505900,76.0,2005-08-06,-118.62463,31.8027,2005-08-17,-119.25,32.46,,
100506000,70.0,2005-08-06,-118.45715,31.8827,2007-07-12,-117.533,32.0166,,
100506100,93.0,2005-08-06,-118.5986,31.78588,,,,,
